#iterative separation between p-node lists
#step s1 s2 s3 s4
509 0.0020 0.0022 0.0022 0.0020
510 0.0020 0.0022 0.0022 0.0020
511 0.0020 0.0022 0.0022 0.0020
512 0.0020 0.0022 0.0022 0.0020
513 0.0020 0.0022 0.0022 0.0020
514 0.0020 0.0022 0.0022 0.0020
515 0.0020 0.0022 0.0022 0.0020
516 0.0020 0.0022 0.0022 0.0020
517 0.0020 0.0022 0.0022 0.0020
518 0.0020 0.0022 0.0022 0.0020
519 0.0020 0.0021 0.0021 0.0020
520 0.0020 0.0021 0.0021 0.0020
521 0.0020 0.0021 0.0021 0.0020
522 0.0020 0.0021 0.0021 0.0020
523 0.0020 0.0021 0.0021 0.0020
524 0.0020 0.0021 0.0021 0.0020
525 0.0020 0.0021 0.0021 0.0020
526 0.0019 0.0021 0.0021 0.0019
527 0.0019 0.0021 0.0021 0.0019
528 0.0019 0.0021 0.0021 0.0019
529 0.0019 0.0021 0.0021 0.0019
530 0.0019 0.0021 0.0021 0.0019
531 0.0019 0.0021 0.0021 0.0019
532 0.0019 0.0020 0.0020 0.0019
533 0.0019 0.0020 0.0020 0.0019
534 0.0019 0.0020 0.0020 0.0019
535 0.0019 0.0020 0.0020 0.0019
536 0.0019 0.0021 0.0021 0.0019
537 0.0019 0.0021 0.0021 0.0019
538 0.0019 0.0021 0.0021 0.0019
539 0.0019 0.0021 0.0021 0.0019
540 0.0019 0.0021 0.0021 0.0019
541 0.0019 0.0021 0.0021 0.0019
542 0.0020 0.0021 0.0021 0.0020
543 0.0020 0.0022 0.0022 0.0020
544 0.0020 0.0022 0.0022 0.0020
545 0.0021 0.0023 0.0023 0.0021
546 0.0021 0.0023 0.0023 0.0021
547 0.0022 0.0024 0.0024 0.0022
548 0.0022 0.0024 0.0024 0.0022
549 0.0023 0.0025 0.0025 0.0023
550 0.0024 0.0026 0.0026 0.0024
551 0.0024 0.0026 0.0026 0.0024
552 0.0025 0.0027 0.0027 0.0025
553 0.0025 0.0028 0.0028 0.0025
554 0.0026 0.0028 0.0028 0.0026
555 0.0026 0.0029 0.0029 0.0026
556 0.0027 0.0029 0.0029 0.0027
557 0.0027 0.0030 0.0030 0.0027
558 0.0027 0.0030 0.0030 0.0027
559 0.0031 0.0034 0.0034 0.0031
560 0.0028 0.0031 0.0031 0.0028
561 0.0026 0.0029 0.0029 0.0026
562 0.0025 0.0028 0.0028 0.0025
563 0.0025 0.0027 0.0027 0.0025
564 0.0024 0.0027 0.0027 0.0024
565 0.0024 0.0027 0.0027 0.0024
566 0.0024 0.0026 0.0026 0.0024
567 0.0024 0.0026 0.0026 0.0024
568 0.0024 0.0026 0.0026 0.0024
569 0.0024 0.0026 0.0026 0.0024
570 0.0024 0.0026 0.0026 0.0024
571 0.0024 0.0026 0.0026 0.0024
572 0.0024 0.0027 0.0027 0.0024
573 0.0024 0.0027 0.0027 0.0024
574 0.0024 0.0027 0.0027 0.0024
575 0.0024 0.0027 0.0027 0.0024
576 0.0025 0.0027 0.0027 0.0025
577 0.0025 0.0027 0.0027 0.0025
578 0.0025 0.0028 0.0028 0.0025
579 0.0025 0.0028 0.0028 0.0025
580 0.0025 0.0028 0.0028 0.0025
581 0.0026 0.0028 0.0028 0.0026
582 0.0026 0.0029 0.0029 0.0026
583 0.0026 0.0029 0.0029 0.0026
584 0.0026 0.0029 0.0029 0.0026
585 0.0027 0.0030 0.0030 0.0027
586 0.0027 0.0030 0.0030 0.0027
587 0.0027 0.0030 0.0030 0.0027
588 0.0027 0.0031 0.0031 0.0027
589 0.0027 0.0031 0.0031 0.0027
590 0.0028 6.4057 6.4175 0.0028
591 0.0028 0.0033 0.0033 0.0028
592 0.0028 0.0033 0.0033 0.0028
593 0.0028 0.0034 0.0034 0.0028
594 0.0029 0.0035 0.0035 0.0029
595 0.0029 0.0035 0.0035 0.0029
596 0.0029 0.0036 0.0036 0.0029
597 0.0029 0.0036 0.0036 0.0029
598 0.0029 0.0037 0.0037 0.0029
599 0.0029 0.0038 0.0038 0.0029
600 0.0030 0.0038 0.0038 0.0030
601 0.0030 0.0039 0.0039 0.0030
602 0.0030 0.0040 0.0039 0.0030
603 0.0030 0.0040 0.0040 0.0030
604 0.0030 0.0040 0.0040 0.0030
605 0.0030 0.0041 0.0041 0.0030
606 0.0034 0.0045 0.0045 0.0034
607 0.0033 0.0045 0.0045 0.0033
608 0.0033 0.0045 0.0045 0.0033
609 0.0033 0.0045 0.0045 0.0033
610 0.0033 0.0045 0.0045 0.0033
611 0.0033 0.0045 0.0045 0.0033
612 0.0033 0.0046 0.0046 0.0033
613 0.0033 0.0046 0.0046 0.0033
614 0.0033 0.0046 0.0046 0.0033
615 0.0033 0.0046 0.0046 0.0033
616 0.0033 0.0046 0.0046 0.0033
617 0.0033 0.0046 0.0046 0.0033
618 0.0043 0.0061 0.0061 0.0043
619 0.0035 0.0049 0.0049 0.0035
620 0.0032 0.0045 0.0045 0.0032
621 0.0031 0.0043 0.0043 0.0031
622 0.0030 0.0042 0.0042 0.0030
623 0.0030 0.0042 0.0042 0.0030
624 0.0029 0.0041 0.0041 0.0029
625 0.0029 0.0041 0.0041 0.0029
626 0.0029 0.0041 0.0041 0.0029
627 0.0030 0.0041 0.0041 0.0030
628 0.0030 0.0041 0.0041 0.0030
629 0.0030 0.0041 0.0041 0.0030
630 0.0030 0.0041 0.0041 0.0030
631 0.0030 0.0041 0.0041 0.0030
